Ward number ,Ward Name,Number of Connections,Consumption in ML,avg_household_size,income_level,water_efficiency
1173,Synthetic Ward 975,5086,497.62,3,Low,0.98
1174,Synthetic Ward 976,6063,113.36,2,Middle,0.55
1175,Synthetic Ward 977,4194,221.61,6,Middle,0.65
1176,Synthetic Ward 978,1353,240.71,2,Low,0.81
1177,Synthetic Ward 979,5960,461.37,3,High,0.98
1178,Synthetic Ward 980,2332,37.82,5,High,0.55
1179,Synthetic Ward 981,6618,84.92,6,Middle,0.51
1180,Synthetic Ward 982,2562,311.47,3,High,0.53
1181,Synthetic Ward 983,4970,290.6,6,High,0.53
1182,Synthetic Ward 984,8777,65.92,4,Middle,0.95
1183,Synthetic Ward 985,2588,113.77,2,High,0.86
1184,Synthetic Ward 986,8889,31.33,4,Middle,0.84
1185,Synthetic Ward 987,6838,373.88,3,Low,0.76
1186,Synthetic Ward 988,8226,133.63,5,Middle,0.89
1187,Synthetic Ward 989,8303,464.38,6,Low,0.58
1188,Synthetic Ward 990,9359,43.77,2,Low,0.7
1189,Synthetic Ward 991,5894,304.55,6,High,0.75
1190,Synthetic Ward 992,1355,353.68,3,High,0.56
1191,Synthetic Ward 993,1518,313.62,6,High,0.71
1192,Synthetic Ward 994,3483,102.86,2,Middle,0.66
1193,Synthetic Ward 995,1769,400.49,3,High,0.52
1194,Synthetic Ward 996,8691,302.36,6,Low,0.57
1195,Synthetic Ward 997,8527,37.48,5,High,0.88
1196,Synthetic Ward 998,7689,207.82,3,High,0.51
1197,Synthetic Ward 999,4325,280.78,3,Middle,0.97
1198,Synthetic Ward 1000,4178,201.79,5,Middle,0.54
1199,Synthetic Ward 1001,8720,238.85,4,Low,0.9
1200,Synthetic Ward 1002,8709,286.88,2,Middle,0.95
1201,Synthetic Ward 1003,3531,217.15,4,High,0.97
1202,Synthetic Ward 1004,2491,199.68,6,Middle,0.93
1203,Synthetic Ward 1005,6113,232.31,5,Low,0.64
1204,Synthetic Ward 1006,6369,354.32,4,High,0.67
1205,Synthetic Ward 1007,6584,358.89,3,Low,0.71
1206,Synthetic Ward 1008,860,96.55,6,Middle,0.57
1207,Synthetic Ward 1009,4408,209.07,6,Middle,0.51
1208,Synthetic Ward 1010,7595,143.76,4,Low,0.93
1209,Synthetic Ward 1011,9179,209.86,4,High,0.78
1210,Synthetic Ward 1012,8995,49.39,5,Middle,0.8
1211,Synthetic Ward 1013,4745,128.81,2,Middle,0.96
1212,Synthetic Ward 1014,5497,40.51,4,High,0.83
1213,Synthetic Ward 1015,3549,63.46,4,Middle,0.85
1214,Synthetic Ward 1016,2344,315.54,3,Low,0.89
1215,Synthetic Ward 1017,2497,342.41,6,Middle,0.56
1216,Synthetic Ward 1018,2609,79.55,2,Middle,0.68
1217,Synthetic Ward 1019,5478,50.21,3,High,0.98
1218,Synthetic Ward 1020,510,238.24,5,Low,0.96
1219,Synthetic Ward 1021,755,436.09,5,High,0.94
1220,Synthetic Ward 1022,2733,451.56,4,Middle,0.73
1221,Synthetic Ward 1023,6685,464.35,4,Middle,0.93
1222,Synthetic Ward 1024,8639,418.68,5,High,0.52
1223,Synthetic Ward 1025,9606,122.3,4,High,0.57
1224,Synthetic Ward 1026,828,377.75,2,High,0.71
1225,Synthetic Ward 1027,6503,222.71,4,Low,0.74
1226,Synthetic Ward 1028,4942,245.66,6,Middle,0.63
1227,Synthetic Ward 1029,4766,284.27,4,High,0.68
1228,Synthetic Ward 1030,9541,42.45,3,Middle,0.58
1229,Synthetic Ward 1031,6347,393.36,2,Low,0.74
1230,Synthetic Ward 1032,1300,57.42,3,Low,0.9
1231,Synthetic Ward 1033,7970,258.02,3,Low,0.83
1232,Synthetic Ward 1034,9900,120.3,6,Low,0.55
1233,Synthetic Ward 1035,9183,111.71,2,Middle,0.74
1234,Synthetic Ward 1036,7800,42.18,2,Low,0.85
1235,Synthetic Ward 1037,8485,283.9,2,Low,0.76
1236,Synthetic Ward 1038,3518,10.87,2,High,0.7
1237,Synthetic Ward 1039,8259,433.49,2,Low,0.81
1238,Synthetic Ward 1040,2152,232.85,6,High,0.98
1239,Synthetic Ward 1041,5411,56.7,4,Low,0.55
1240,Synthetic Ward 1042,9589,309.14,3,Low,0.7
1241,Synthetic Ward 1043,2911,59.88,2,High,0.7
1242,Synthetic Ward 1044,8883,275.2,4,Low,0.79
1243,Synthetic Ward 1045,9618,297.93,4,Middle,0.58
1244,Synthetic Ward 1046,3515,84.34,3,Middle,0.59
1245,Synthetic Ward 1047,4223,443.21,6,Low,0.64
1246,Synthetic Ward 1048,2820,210.8,5,Middle,0.98
1247,Synthetic Ward 1049,3659,156.29,5,High,0.87
1248,Synthetic Ward 1050,9556,430.33,4,Low,0.83
1249,Synthetic Ward 1051,9286,316.96,3,Low,0.91
1250,Synthetic Ward 1052,341,222.97,5,High,0.56
1251,Synthetic Ward 1053,8028,308.36,4,High,0.93
1252,Synthetic Ward 1054,6294,135.7,6,High,0.8
1253,Synthetic Ward 1055,448,250.47,5,Low,0.67
1254,Synthetic Ward 1056,7908,85.62,4,High,0.91
1255,Synthetic Ward 1057,2817,250.24,4,High,0.9
1256,Synthetic Ward 1058,1703,249.75,2,Middle,0.92
1257,Synthetic Ward 1059,2340,293.51,6,Middle,0.56
1258,Synthetic Ward 1060,4312,196.91,2,Low,0.98
1259,Synthetic Ward 1061,5680,306.79,3,Middle,0.98
1260,Synthetic Ward 1062,3206,399.67,2,Middle,0.68
1261,Synthetic Ward 1063,5461,487.28,2,High,0.53
1262,Synthetic Ward 1064,9086,320.71,5,High,0.58
1263,Synthetic Ward 1065,9107,495.21,4,Middle,1.0
1264,Synthetic Ward 1066,1788,474.31,6,Middle,0.78
1265,Synthetic Ward 1067,1315,395.75,2,Middle,0.68
1266,Synthetic Ward 1068,4190,176.27,6,Low,0.64
1267,Synthetic Ward 1069,615,354.21,2,Low,0.63
1268,Synthetic Ward 1070,5384,148.86,3,Low,0.83
1269,Synthetic Ward 1071,3933,443.72,2,Middle,0.71
1270,Synthetic Ward 1072,8009,379.57,5,Middle,0.98
1271,Synthetic Ward 1073,5565,161.81,4,Low,0.84
1272,Synthetic Ward 1074,5026,483.95,3,Low,0.9
1273,Synthetic Ward 1075,3248,152.46,2,Middle,0.65
1274,Synthetic Ward 1076,760,343.38,6,High,0.54
1275,Synthetic Ward 1077,9090,351.56,3,Low,0.74
1276,Synthetic Ward 1078,7948,425.15,3,Middle,0.66
1277,Synthetic Ward 1079,161,435.8,2,Middle,0.6
1278,Synthetic Ward 1080,4308,237.92,3,High,0.98
1279,Synthetic Ward 1081,7763,207.99,6,Middle,0.72
1280,Synthetic Ward 1082,4399,492.63,3,Middle,0.59
1281,Synthetic Ward 1083,2803,11.82,6,Low,0.6
1282,Synthetic Ward 1084,7089,407.42,2,Low,0.64
1283,Synthetic Ward 1085,5099,497.71,4,High,1.0
1284,Synthetic Ward 1086,8987,50.86,3,High,0.63
1285,Synthetic Ward 1087,3555,45.75,4,Middle,0.66
1286,Synthetic Ward 1088,7030,139.36,6,Low,0.83
1287,Synthetic Ward 1089,5054,115.89,3,High,0.65
1288,Synthetic Ward 1090,3267,225.81,5,High,0.61
1289,Synthetic Ward 1091,6866,267.03,4,High,0.58
1290,Synthetic Ward 1092,332,302.47,3,Middle,0.66
1291,Synthetic Ward 1093,1805,332.56,4,Low,0.55
1292,Synthetic Ward 1094,7680,242.96,3,High,0.51
1293,Synthetic Ward 1095,2928,258.35,2,Low,0.9
1294,Synthetic Ward 1096,1442,477.0,4,High,0.57
1295,Synthetic Ward 1097,8649,331.96,5,High,0.89
1296,Synthetic Ward 1098,5748,60.12,5,Low,0.9
1297,Synthetic Ward 1099,3428,107.4,6,Low,0.77
1298,Synthetic Ward 1100,199,70.84,3,Low,0.65
1299,Synthetic Ward 1101,4793,463.54,4,Middle,0.57
1300,Synthetic Ward 1102,8958,399.79,6,High,0.87
1301,Synthetic Ward 1103,7643,466.33,4,Middle,0.8
1302,Synthetic Ward 1104,4927,141.2,3,Low,0.83
1303,Synthetic Ward 1105,1943,49.65,5,High,0.5
1304,Synthetic Ward 1106,6409,446.18,2,Middle,0.96
1305,Synthetic Ward 1107,2591,383.49,5,High,0.53
1306,Synthetic Ward 1108,1794,172.63,6,Middle,0.68
1307,Synthetic Ward 1109,2237,82.22,2,Low,0.7
1308,Synthetic Ward 1110,9941,493.96,6,Middle,0.5
1309,Synthetic Ward 1111,9062,14.15,3,High,0.75
1310,Synthetic Ward 1112,8703,141.73,2,High,0.88
1311,Synthetic Ward 1113,341,406.6,6,High,0.91
1312,Synthetic Ward 1114,4580,429.83,3,High,0.94
1313,Synthetic Ward 1115,141,193.5,5,Low,0.74
1314,Synthetic Ward 1116,5387,216.53,3,Middle,0.82
1315,Synthetic Ward 1117,1469,112.58,4,Low,0.54
1316,Synthetic Ward 1118,9488,60.27,3,Low,0.74
1317,Synthetic Ward 1119,1875,100.76,3,Low,0.58
1318,Synthetic Ward 1120,8991,61.39,4,High,0.68
1319,Synthetic Ward 1121,2812,62.1,6,High,0.66
1320,Synthetic Ward 1122,8178,152.01,6,High,0.71
1321,Synthetic Ward 1123,6648,17.97,3,Middle,0.79
1322,Synthetic Ward 1124,8027,75.74,4,High,0.95
1323,Synthetic Ward 1125,8738,63.87,4,Middle,0.7
1324,Synthetic Ward 1126,6732,314.21,5,High,0.99
1325,Synthetic Ward 1127,7971,307.46,6,High,0.88
1326,Synthetic Ward 1128,8350,422.65,2,Low,0.76
1327,Synthetic Ward 1129,7566,494.33,6,Low,0.82
1328,Synthetic Ward 1130,4373,397.12,6,Low,0.55
1329,Synthetic Ward 1131,5863,334.44,5,Middle,0.92
1330,Synthetic Ward 1132,8479,69.53,2,Middle,0.79
1331,Synthetic Ward 1133,7341,207.1,5,High,0.99
1332,Synthetic Ward 1134,6548,287.52,2,Middle,0.82
1333,Synthetic Ward 1135,7428,138.85,3,High,0.92
1334,Synthetic Ward 1136,115,213.65,2,Middle,0.9
1335,Synthetic Ward 1137,9813,84.2,5,Middle,0.67
1336,Synthetic Ward 1138,1345,468.94,6,Middle,0.63
1337,Synthetic Ward 1139,5291,330.54,2,Low,0.72
1338,Synthetic Ward 1140,6304,307.98,2,Middle,0.73
1339,Synthetic Ward 1141,1641,123.83,4,Low,0.62
1340,Synthetic Ward 1142,8458,436.12,6,Low,0.95
1341,Synthetic Ward 1143,2649,26.58,3,Middle,0.77
1342,Synthetic Ward 1144,2148,368.1,5,High,0.99
1343,Synthetic Ward 1145,5552,108.79,3,High,0.91
1344,Synthetic Ward 1146,3457,243.81,6,High,0.78
1345,Synthetic Ward 1147,7266,498.03,2,Middle,0.97
1346,Synthetic Ward 1148,9870,183.53,2,High,0.75
1347,Synthetic Ward 1149,3078,283.17,6,Low,0.94
1348,Synthetic Ward 1150,2320,35.92,2,High,0.68
1349,Synthetic Ward 1151,6703,201.79,2,Middle,0.69
1350,Synthetic Ward 1152,2651,280.09,2,High,0.71
1351,Synthetic Ward 1153,8809,283.7,5,Low,0.77
1352,Synthetic Ward 1154,4706,410.54,5,Middle,0.78
1353,Synthetic Ward 1155,9825,379.43,4,High,0.75
1354,Synthetic Ward 1156,1366,200.08,3,Middle,0.65
1355,Synthetic Ward 1157,6553,57.9,6,Middle,0.96
1356,Synthetic Ward 1158,5496,157.82,6,Middle,0.79
1357,Synthetic Ward 1159,6377,379.89,6,High,0.7
1358,Synthetic Ward 1160,7132,191.29,4,Middle,0.83
1359,Synthetic Ward 1161,5340,416.22,5,High,0.88
1360,Synthetic Ward 1162,3631,195.39,4,Low,0.98
1361,Synthetic Ward 1163,3821,203.43,6,High,0.75
1362,Synthetic Ward 1164,7678,342.92,3,Low,0.56
1363,Synthetic Ward 1165,8709,471.01,2,High,0.72
1364,Synthetic Ward 1166,5839,109.85,5,Middle,0.74
1365,Synthetic Ward 1167,6181,433.22,5,High,0.95
1366,Synthetic Ward 1168,9535,115.75,4,Middle,0.7
1367,Synthetic Ward 1169,6837,461.95,5,Low,0.98
1368,Synthetic Ward 1170,9219,207.71,6,High,0.74
1369,Synthetic Ward 1171,2043,84.17,6,Middle,0.99
1370,Synthetic Ward 1172,1292,336.11,4,Low,0.5
1371,Synthetic Ward 1173,3315,159.87,6,Low,0.95
1372,Synthetic Ward 1174,3739,11.41,3,High,0.97
1373,Synthetic Ward 1175,4847,83.01,4,Low,0.98
1374,Synthetic Ward 1176,7579,201.65,3,Middle,0.51
1375,Synthetic Ward 1177,9070,198.77,2,Low,0.59
1376,Synthetic Ward 1178,2294,291.52,3,Low,0.83
1377,Synthetic Ward 1179,954,212.59,2,Middle,0.51
1378,Synthetic Ward 1180,1093,439.84,2,Low,0.53
1379,Synthetic Ward 1181,5571,366.34,3,Low,0.61
1380,Synthetic Ward 1182,5073,265.11,4,Low,0.76
1381,Synthetic Ward 1183,356,112.86,6,Low,0.77
1382,Synthetic Ward 1184,504,337.66,6,Middle,0.52
1383,Synthetic Ward 1185,3741,163.06,2,Low,0.59
1384,Synthetic Ward 1186,6946,12.8,2,Middle,0.75
1385,Synthetic Ward 1187,6331,293.57,4,Low,0.8
1386,Synthetic Ward 1188,7925,123.26,5,Low,0.57
1387,Synthetic Ward 1189,2964,60.88,3,Low,0.7
1388,Synthetic Ward 1190,4206,475.16,2,Low,0.95
1389,Synthetic Ward 1191,2790,168.49,6,Middle,1.0
1390,Synthetic Ward 1192,5231,269.02,4,Middle,0.99
1391,Synthetic Ward 1193,9638,19.31,3,Middle,0.94
1392,Synthetic Ward 1194,3853,99.5,4,High,0.7
1393,Synthetic Ward 1195,6376,348.02,3,Low,0.84
1394,Synthetic Ward 1196,5049,493.24,3,Low,0.71
1395,Synthetic Ward 1197,5989,186.98,2,Middle,0.82
1396,Synthetic Ward 1198,126,470.39,4,High,0.65
1397,Synthetic Ward 1199,7180,173.38,4,Low,0.8
1398,Synthetic Ward 1200,6961,459.34,6,Middle,0.76
1399,Synthetic Ward 1201,922,236.83,6,Low,0.51
1400,Synthetic Ward 1202,9834,224.65,2,Low,0.9
1401,Synthetic Ward 1203,8292,14.21,2,Middle,0.51
1402,Synthetic Ward 1204,9587,115.25,5,Middle,0.65
1403,Synthetic Ward 1205,5512,481.14,6,Low,0.5
1404,Synthetic Ward 1206,7874,208.55,3,Low,0.69
1405,Synthetic Ward 1207,2345,371.21,4,Middle,0.53
1406,Synthetic Ward 1208,9236,454.79,2,Low,0.96
1407,Synthetic Ward 1209,525,156.3,4,Low,0.71
1408,Synthetic Ward 1210,3261,376.83,4,Middle,0.73
1409,Synthetic Ward 1211,9843,255.32,5,Low,0.67
1410,Synthetic Ward 1212,802,396.39,6,Low,0.81
1411,Synthetic Ward 1213,4315,225.83,2,High,0.89
1412,Synthetic Ward 1214,5975,162.38,4,Middle,0.82
1413,Synthetic Ward 1215,3120,169.46,2,High,0.87
1414,Synthetic Ward 1216,2359,347.94,3,High,0.95
1415,Synthetic Ward 1217,6040,82.19,5,High,0.93
1416,Synthetic Ward 1218,2916,412.12,3,Low,0.84
1417,Synthetic Ward 1219,1843,238.52,2,Low,0.61
1418,Synthetic Ward 1220,9239,294.78,2,High,0.82
1419,Synthetic Ward 1221,3157,289.43,6,High,0.75
1420,Synthetic Ward 1222,811,10.3,4,High,0.86
1421,Synthetic Ward 1223,9267,10.9,4,Low,0.92
1422,Synthetic Ward 1224,3300,192.4,3,High,0.87
1423,Synthetic Ward 1225,4312,353.76,5,High,0.92
1424,Synthetic Ward 1226,7127,303.19,4,Middle,0.53
1425,Synthetic Ward 1227,3693,277.98,6,Middle,0.52
1426,Synthetic Ward 1228,3429,21.08,3,Low,0.63
1427,Synthetic Ward 1229,7088,458.81,3,Middle,0.95
1428,Synthetic Ward 1230,200,22.83,6,Middle,0.91
1429,Synthetic Ward 1231,9141,423.18,5,Middle,0.84
1430,Synthetic Ward 1232,3982,33.11,6,Low,0.85
1431,Synthetic Ward 1233,3904,237.91,5,Middle,0.86
1432,Synthetic Ward 1234,9956,289.27,6,Low,0.97
1433,Synthetic Ward 1235,3694,479.9,6,High,0.92
1434,Synthetic Ward 1236,8184,194.38,2,Middle,0.81
1435,Synthetic Ward 1237,7554,66.25,3,Low,0.83
1436,Synthetic Ward 1238,1776,19.47,6,Middle,0.61
1437,Synthetic Ward 1239,5453,400.3,6,High,0.83
1438,Synthetic Ward 1240,8897,415.06,4,Low,0.71
1439,Synthetic Ward 1241,9212,259.07,3,Low,0.58
1440,Synthetic Ward 1242,2638,333.68,4,Low,0.9
1441,Synthetic Ward 1243,4970,463.54,3,High,0.76
1442,Synthetic Ward 1244,4070,164.78,4,High,0.99
1443,Synthetic Ward 1245,4459,23.49,6,High,0.64
1444,Synthetic Ward 1246,3183,59.63,6,Low,0.74
1445,Synthetic Ward 1247,3809,114.31,2,High,0.72
1446,Synthetic Ward 1248,4781,412.32,4,Middle,0.56
1447,Synthetic Ward 1249,933,61.5,5,High,0.71
1448,Synthetic Ward 1250,5596,29.86,2,Low,0.64
1449,Synthetic Ward 1251,7503,157.99,4,Middle,0.58
1450,Synthetic Ward 1252,3168,11.34,4,High,0.64
1451,Synthetic Ward 1253,6742,97.11,2,Middle,0.62
1452,Synthetic Ward 1254,5231,87.96,6,Middle,0.87
1453,Synthetic Ward 1255,3561,455.34,4,Low,0.52
1454,Synthetic Ward 1256,3087,299.69,6,Middle,0.81
1455,Synthetic Ward 1257,122,320.7,2,Middle,0.88
1456,Synthetic Ward 1258,1760,105.45,6,Low,0.74
1457,Synthetic Ward 1259,9682,406.63,3,Low,0.97
1458,Synthetic Ward 1260,3626,414.93,5,Low,0.85
1459,Synthetic Ward 1261,492,243.25,4,Middle,0.87
1460,Synthetic Ward 1262,768,47.82,5,Middle,0.6
1461,Synthetic Ward 1263,1781,179.88,6,Middle,0.89
1462,Synthetic Ward 1264,6507,317.29,4,Low,0.92
1463,Synthetic Ward 1265,3064,105.86,6,High,0.68
1464,Synthetic Ward 1266,5637,141.01,3,Middle,0.61
1465,Synthetic Ward 1267,6918,82.0,2,High,0.69
1466,Synthetic Ward 1268,3517,292.24,4,Low,0.87
1467,Synthetic Ward 1269,1876,284.51,3,Middle,0.71
1468,Synthetic Ward 1270,3441,498.57,3,High,0.87
1469,Synthetic Ward 1271,4065,498.87,4,Middle,0.56
1470,Synthetic Ward 1272,6231,371.68,6,Middle,0.9
1471,Synthetic Ward 1273,4026,425.06,3,Middle,0.63
1472,Synthetic Ward 1274,2259,299.55,5,High,0.62
1473,Synthetic Ward 1275,7063,251.52,3,Low,0.8
1474,Synthetic Ward 1276,606,134.42,6,Middle,0.54
1475,Synthetic Ward 1277,622,160.51,6,Low,0.51
1476,Synthetic Ward 1278,4188,141.49,5,Low,0.63
1477,Synthetic Ward 1279,7253,445.07,3,High,0.77
1478,Synthetic Ward 1280,326,410.58,6,High,0.95
1479,Synthetic Ward 1281,8753,72.38,4,Low,0.92
1480,Synthetic Ward 1282,549,426.7,2,Middle,0.75
1481,Synthetic Ward 1283,5034,256.67,2,High,0.52
1482,Synthetic Ward 1284,1614,480.31,2,Middle,0.77
1483,Synthetic Ward 1285,8614,202.05,3,Middle,0.85
1484,Synthetic Ward 1286,4417,465.77,5,Middle,0.67
1485,Synthetic Ward 1287,4442,101.32,6,Low,0.56
1486,Synthetic Ward 1288,8852,49.57,4,Middle,0.64
1487,Synthetic Ward 1289,6601,266.92,4,Low,0.89
1488,Synthetic Ward 1290,8119,173.77,3,Low,0.68
1489,Synthetic Ward 1291,1566,281.75,2,Middle,0.91
1490,Synthetic Ward 1292,5036,370.67,3,Middle,0.66
1491,Synthetic Ward 1293,7989,108.14,5,Middle,0.58
1492,Synthetic Ward 1294,1149,23.18,5,Middle,0.72
1493,Synthetic Ward 1295,2206,297.41,6,Low,0.73
1494,Synthetic Ward 1296,1232,36.19,6,Middle,0.51
1495,Synthetic Ward 1297,1842,279.28,5,Middle,0.56
1496,Synthetic Ward 1298,4617,388.04,5,Low,0.59
1497,Synthetic Ward 1299,6978,73.67,5,High,0.56
1498,Synthetic Ward 1300,8520,93.58,3,High,0.67
1499,Synthetic Ward 1301,6462,383.8,5,Low,0.98
1500,Synthetic Ward 1302,3179,233.87,4,High,0.75
1501,Synthetic Ward 1303,1276,404.38,2,Low,0.81
1502,Synthetic Ward 1304,6855,351.46,5,Middle,0.68
1503,Synthetic Ward 1305,1144,45.91,2,Middle,0.66
1504,Synthetic Ward 1306,2357,166.25,3,High,0.51
1505,Synthetic Ward 1307,9916,108.96,2,Middle,0.75
1506,Synthetic Ward 1308,9298,221.56,3,High,0.74
1507,Synthetic Ward 1309,3038,292.23,4,High,0.58
1508,Synthetic Ward 1310,1518,167.25,3,Middle,0.88
1509,Synthetic Ward 1311,3740,412.06,3,Middle,0.75
1510,Synthetic Ward 1312,9086,192.11,6,High,0.67
1511,Synthetic Ward 1313,2309,485.69,5,Middle,0.57
1512,Synthetic Ward 1314,3500,191.12,5,Low,0.78
1513,Synthetic Ward 1315,7678,140.79,4,Middle,0.88
1514,Synthetic Ward 1316,6721,347.33,4,Middle,0.64
1515,Synthetic Ward 1317,4360,478.63,5,Low,0.61
1516,Synthetic Ward 1318,6184,132.23,6,Middle,0.76
1517,Synthetic Ward 1319,9635,333.74,5,Middle,0.58
1518,Synthetic Ward 1320,5851,311.42,6,High,0.83
1519,Synthetic Ward 1321,7154,463.55,4,Middle,0.8
1520,Synthetic Ward 1322,2790,265.55,2,Middle,0.54
1521,Synthetic Ward 1323,9399,417.94,4,Low,0.52
1522,Synthetic Ward 1324,385,270.55,4,High,0.81
1523,Synthetic Ward 1325,1581,82.88,3,High,0.65
1524,Synthetic Ward 1326,3916,381.81,3,High,0.54
1525,Synthetic Ward 1327,8628,468.33,3,Middle,0.88
1526,Synthetic Ward 1328,7824,439.32,3,High,0.66
1527,Synthetic Ward 1329,8064,360.54,6,Low,0.73
1528,Synthetic Ward 1330,6919,218.11,5,High,0.62
1529,Synthetic Ward 1331,3482,225.72,2,Low,0.81
1530,Synthetic Ward 1332,4635,229.36,4,High,0.65
1531,Synthetic Ward 1333,5095,315.01,6,High,0.98
1532,Synthetic Ward 1334,1357,374.62,2,Low,0.85
1533,Synthetic Ward 1335,1236,373.45,6,High,0.57
1534,Synthetic Ward 1336,2394,244.85,6,High,0.71
1535,Synthetic Ward 1337,3829,128.4,4,High,0.69
1536,Synthetic Ward 1338,5400,54.1,5,Middle,0.77
1537,Synthetic Ward 1339,5977,138.04,3,Low,0.92
1538,Synthetic Ward 1340,7319,124.69,5,High,0.79
1539,Synthetic Ward 1341,4555,485.51,4,Low,0.53
1540,Synthetic Ward 1342,5555,211.19,4,Low,0.83
1541,Synthetic Ward 1343,6080,133.94,4,Low,0.5
1542,Synthetic Ward 1344,195,328.4,2,High,0.89
1543,Synthetic Ward 1345,2766,242.87,5,High,0.83
1544,Synthetic Ward 1346,7433,161.51,5,Low,0.65
1545,Synthetic Ward 1347,744,218.16,6,Middle,0.65
1546,Synthetic Ward 1348,5711,345.23,6,Low,0.9
1547,Synthetic Ward 1349,992,470.23,6,Middle,0.89
1548,Synthetic Ward 1350,8531,338.06,4,Low,0.68
1549,Synthetic Ward 1351,2915,310.06,5,Low,0.65
1550,Synthetic Ward 1352,5458,69.92,4,Low,0.78
1551,Synthetic Ward 1353,7263,108.09,2,High,0.5
1552,Synthetic Ward 1354,6272,350.22,6,Middle,0.54
1553,Synthetic Ward 1355,5106,307.81,4,Middle,0.56
1554,Synthetic Ward 1356,2267,198.65,4,Low,0.59
1555,Synthetic Ward 1357,9312,461.79,2,High,0.76
1556,Synthetic Ward 1358,8937,131.49,3,High,1.0
1557,Synthetic Ward 1359,2593,81.98,5,Middle,0.83
1558,Synthetic Ward 1360,8777,438.9,3,High,0.53
1559,Synthetic Ward 1361,4361,436.0,6,Middle,0.76
1560,Synthetic Ward 1362,1411,83.95,4,Middle,0.75
1561,Synthetic Ward 1363,623,428.06,2,Middle,0.57
1562,Synthetic Ward 1364,4790,229.67,2,High,0.96
1563,Synthetic Ward 1365,8997,63.12,5,Middle,0.72
1564,Synthetic Ward 1366,4425,331.25,3,Middle,1.0
1565,Synthetic Ward 1367,8457,21.25,5,Low,0.71
1566,Synthetic Ward 1368,9076,404.85,4,Middle,0.8
1567,Synthetic Ward 1369,9517,305.53,5,Middle,0.55
1568,Synthetic Ward 1370,7723,383.41,2,Low,0.73
1569,Synthetic Ward 1371,3810,435.67,2,Low,0.62
1570,Synthetic Ward 1372,1283,19.84,6,High,0.92
1571,Synthetic Ward 1373,6760,97.18,6,Middle,0.89
1572,Synthetic Ward 1374,4651,252.86,4,High,0.91
1573,Synthetic Ward 1375,4014,444.28,3,High,0.86
1574,Synthetic Ward 1376,7245,449.14,5,Low,0.92
1575,Synthetic Ward 1377,5691,199.9,4,High,0.6
1576,Synthetic Ward 1378,8638,288.51,6,Middle,0.73
1577,Synthetic Ward 1379,8768,168.35,5,Low,0.85
1578,Synthetic Ward 1380,1572,272.79,6,Middle,0.82
1579,Synthetic Ward 1381,4472,278.46,5,Middle,0.86
1580,Synthetic Ward 1382,7632,36.21,3,Low,0.61
1581,Synthetic Ward 1383,8610,295.19,4,Middle,0.55
1582,Synthetic Ward 1384,9232,446.85,5,Low,0.96
1583,Synthetic Ward 1385,4283,172.33,2,Middle,0.78
1584,Synthetic Ward 1386,5572,199.47,2,Low,0.58
1585,Synthetic Ward 1387,7836,41.38,5,High,0.9
1586,Synthetic Ward 1388,2453,30.35,5,Middle,0.96
1587,Synthetic Ward 1389,3124,211.25,5,Low,0.58
1588,Synthetic Ward 1390,5924,81.93,2,Middle,0.91
1589,Synthetic Ward 1391,8647,377.4,2,Middle,0.97
1590,Synthetic Ward 1392,3365,64.69,5,Middle,0.97
1591,Synthetic Ward 1393,3218,296.98,6,Low,0.96
1592,Synthetic Ward 1394,1853,84.26,6,High,0.77
1593,Synthetic Ward 1395,4952,353.8,3,High,0.68
1594,Synthetic Ward 1396,182,415.45,4,High,0.5
1595,Synthetic Ward 1397,2100,249.83,6,Low,0.53
1596,Synthetic Ward 1398,5634,287.78,2,High,0.71
1597,Synthetic Ward 1399,1997,469.44,6,Low,0.7
1598,Synthetic Ward 1400,4944,101.76,3,Middle,0.59
1599,Synthetic Ward 1401,5593,291.68,3,Middle,0.7
1600,Synthetic Ward 1402,8907,20.51,4,High,0.59
1601,Synthetic Ward 1403,785,118.88,6,Low,0.92
1602,Synthetic Ward 1404,9146,15.87,2,Middle,0.65
1603,Synthetic Ward 1405,6906,229.75,2,Low,0.8
1604,Synthetic Ward 1406,2138,479.48,5,Low,0.75
1605,Synthetic Ward 1407,4771,169.36,2,Middle,0.53
1606,Synthetic Ward 1408,2439,279.21,4,Low,0.97
1607,Synthetic Ward 1409,3465,44.74,4,Middle,0.76
1608,Synthetic Ward 1410,5100,378.07,2,Middle,0.66
1609,Synthetic Ward 1411,3040,213.07,2,Middle,0.58
1610,Synthetic Ward 1412,6578,388.38,5,Low,0.67
1611,Synthetic Ward 1413,3507,24.78,2,Middle,0.51
1612,Synthetic Ward 1414,6939,194.73,5,Low,0.68
1613,Synthetic Ward 1415,8670,278.91,5,Middle,0.77
1614,Synthetic Ward 1416,1126,40.16,2,Middle,0.94
1615,Synthetic Ward 1417,6312,275.31,3,High,0.84
1616,Synthetic Ward 1418,5864,396.14,3,High,0.56
1617,Synthetic Ward 1419,6662,169.74,5,High,0.57
1618,Synthetic Ward 1420,2163,236.42,2,Low,0.71
1619,Synthetic Ward 1421,2509,175.88,3,Low,0.6
1620,Synthetic Ward 1422,245,375.85,2,Middle,0.51
1621,Synthetic Ward 1423,568,471.59,2,Middle,0.9
1622,Synthetic Ward 1424,5377,380.9,2,Middle,0.51
1623,Synthetic Ward 1425,4131,94.0,6,Middle,0.92
